OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
+,585,2143,8355,4048,6968,213,7506,6859,5636,1489
-,3,0,0,0,0,0,0,0,0,0
+,2162,4899,5832,2635,1994,2268,8481,5343,285,7769
+,2584,4265,4342,708,7655,3416,9527,4557,444,4857
+,4381,8473,4815,3528,3958,3963,9612,2755,2520,8911
+,8700,4755,3031,6988,734,1578,5633,4053,6697,355
+,5773,8198,9046,8435,8122,8042,5743,1790,8506,4765
+,3213,3162,1694,2162,1846,490,5770,2140,9038,4368
+,9544,8131,6290,1611,3778,8312,3484,9879,5239,4513
+,2107,158,7008,8077,7659,4206,8360,5278,8335,6832
+,3987,9309,4993,1399,5450,9311,1012,2805,3379,5062
+,5444,1445,5051,2889,8017,5858,4822,288,805,8685
+,9657,96,9750,583,9290,9128,780,9718,1125,6870
+,8107,507,9698,7983,6111,8783,4574,8939,6560,5192
+,9844,1635,6182,9381,4661,1635,7367,3434,3061,1710
+,2500,6217,2069,1661,4630,4165,7678,7108,1396,1670
+,3268,1352,9458,5281,4250,5836,6734,4762,7682,3332
+,1360,4017,969,2671,8867,6544,7242,4701,7887,4293
+,3704,4107,4906,7714,5014,6807,1301,6772,9758,2783
+,9640,9372,3517,5782,1503,4794,1897,9235,9567,1258
+,6736,5852,9813,7258,4263,2838,7495,8526,1324,3079
+,2981,6406,5835,9349,1484,8524,1371,2870,819,7916
+,9609,6024,8548,1752,5200,2429,6952,1854,5691,5773
+,5008,1290,81,2089,9485,4237,8190,6598,3322,6051
+,7495,6705,9635,5465,8573,6207,9990,4135,279,9566
+,6607,6130,6202,1685,737,8992,7200,7644,242,2904
+,3489,4984,5774,7254,6292,5443,8887,6144,4183,4754
+,1891,263,4837,9951,2492,2742,1073,3854,5899,419
+,6544,9391,7643,9149,3475,9170,6636,6149,4143,8840
+,4809,6589,2914,1346,1367,7056,9421,1350,5027,423
+,750,8455,5744,9131,2816,3356,6907,5229,1969,1376
+,1101,327,6745,7275,4510,2907,7450,43,4487,1058
+,549,2512,4991,8901,6402,4264,6798,9677,1089,7909
+,9822,8072,9249,5047,9922,5346,890,1531,5357,5218
+,6263,1275,6629,9080,7832,6094,3606,1463,1485,9648
+,6873,479,4499,8437,1698,735,2242,319,197,4226
+,2056,2658,7690,2805,145,8517,9863,3902,5614,6984
+,2007,8436,8412,3141,1076,2091,3701,3702,9914,542
+,8337,9894,8555,4739,791,6012,9323,3863,3700,1700
+,7771,6458,5004,4955,7836,1824,1428,6391,5729,1537
+,1904,8667,6873,2921,4930,6093,6008,2257,5570,988
+,2602,348,4193,6415,5910,8484,6339,5475,1399,192
+,5138,721,2976,9609,2354,2229,1353,5000,6773,1845
+,8597,2457,9388,2761,7033,6580,3494,3249,4050,8345
+,7384,9279,8515,9200,4049,511,9919,975,7472,7249
+,5711,5112,5847,4678,7731,2474,2029,7754,8658,6352
+,229,3717,5807,9620,6657,6122,8478,5547,6273,9494
+,920,7541,4465,8103,960,492,72,464,656,158
+,6161,8696,6606,435,9940,9607,8897,7419,8812,1679
+,2226,9676,9550,9338,4002,777,5697,9098,4715,926
+,4716,3633,1632,8550,9909,3869,4949,6728,7788,6855
+,6778,4744,1912,9418,9478,4529,636,8218,5510,1385
+,2158,6516,831,9838,2757,9502,7063,7006,1710,7492
-,866,0,0,0,0,0,0,0,0,0
+,1526,6076,5523,3615,7705,9748,5991,5535,6459,6372
+,2642,361,9132,1943,4521,1640,9559,6531,1041,6048
+,8266,7050,3694,1692,3403,3845,4720,9372,4461,9521
+,7120,8458,7408,1574,9197,720,6207,9944,3888,9320
+,3785,7692,4216,7888,9273,89,5469,5921,5486,6510
+,5911,4410,914,4684,4330,1481,3092,4130,8369,2755
+,3691,2549,6412,7829,1880,3353,8884,471,1579,211
+,4342,6154,9215,7930,981,2659,1704,2095,8660,9209
+,3878,7332,9292,1299,8886,506,9766,7438,4219,4262
+,8865,1936,1269,4676,9606,5789,7146,3951,5914,4861
+,8858,4308,1469,2461,6137,9654,4430,7379,2722,3476
-,317,0,0,0,0,0,0,0,0,0
+,7554,3003,3562,1530,4355,1559,366,8,7956,5767
+,1915,5450,148,4457,9564,8471,9523,9382,9709,9470
+,8349,7339,4103,7334,3958,7711,4099,74,2244,352
+,9734,9719,5505,6692,8034,5480,445,910,3016,7787
+,470,6940,1961,8987,8838,3696,5606,5473,3358,7709
+,5706,3865,9876,8882,9160,576,3458,5737,5808,1636
+,9858,164,3110,2599,1602,9880,4614,9311,8804,7252
+,707,4242,329,352,7275,6189,2674,6940,5944,2737
+,2386,2724,7933,6638,3642,617,3709,6818,1932,2146
+,1544,8622,1089,5627,7240,4975,525,5401,8312,992
+,1781,7491,4194,5628,8496,7397,3816,654,5593,2975
+,8248,8181,4655,2137,2061,1650,5475,6068,1495,9932
+,4703,6187,4098,1014,9184,4894,9828,27,9699,5762
+,1240,1750,3196,7477,805,7706,3430,4653,1476,781
+,2915,2451,2415,5689,7596,6812,4986,4434,394,3113
-,582,0,0,0,0,0,0,0,0,0
+,420,4160,4197,863,7968,8131,8830,8898,7294,3749
+,9817,4155,2796,1405,1757,5726,8242,2501,3055,9515
+,7226,4974,4031,7465,9790,1855,3083,9888,9826,9751
+,9158,1719,7666,4741,5030,1851,1813,1720,144,4103
+,20,8460,3727,9227,9363,1534,3604,7348,3101,130
+,5655,4698,5516,9398,8351,1876,4802,5168,6451,839
+,7102,6033,8365,9271,2816,7389,8183,5296,4811,8385
+,9484,172,2499,8293,8623,9044,3221,7589,1426,1802
+,7409,2256,6521,5772,9026,9722,2362,2471,1240,8254
+,2406,1790,5412,5156,275,9844,2527,10000,7732,1697
+,7170,3667,9901,2941,4499,3994,8502,785,8491,450
+,4321,767,512,7736,7211,4846,5718,9681,4920,9648
+,5834,4153,7494,6784,7566,6934,5580,2990,1105,9536
-,691,0,0,0,0,0,0,0,0,0
+,7315,696,9687,771,952,8524,570,1466,7446,3307
+,1562,7133,6937,1063,5622,4961,5960,8536,3663,3075
+,1753,1918,7772,4567,6036,8267,1848,1472,735,6877
+,9637,6268,9236,5608,6393,6723,3826,6076,8572,8246
+,9188,6656,5127,9096,3360,9269,8770,6974,569,4120
+,9096,3655,344,3143,1486,6561,3708,6947,6133,3966
+,547,6735,6700,3875,2009,3297,360,6207,4314,7935
+,441,8232,7914,1455,7107,4750,4715,1013,9358,1634
+,2110,4670,7381,3614,5371,6570,6384,798,6465,7512
+,7264,9203,1674,7257,1229,363,7341,1401,8349,1955
+,6314,7140,7620,599,995,4390,8142,4059,5262,7041
+,6984,8791,2881,5844,9258,2198,8500,2754,3240,321
+,4822,1380,8709,3593,5471,818,1801,9711,6482,5084
+,5600,766,8305,2985,8625,3090,5686,9973,6555,8655
+,2354,6243,6147,5959,6513,8972,4633,8055,6790,8588
+,2493,8554,4255,396,7019,9517,2968,5230,1085,3757
+,3511,4756,118,4130,4653,4797,720,1089,2956,8039
+,6469,6670,8637,578,1022,3504,9285,4862,1439,7097
+,5519,7030,4737,4265,3461,3693,5848,4393,8757,8532
+,5070,2692,717,4926,395,658,8291,3504,1408,8720
+,7008,3337,374,7363,5711,6244,4986,8579,4691,1147
+,9524,8751,5849,3813,2481,4864,350,6383,4235,8605
+,1020,1951,9122,6399,3982,8082,3718,8621,8083,8030
+,2309,1144,7393,3119,2440,9578,7109,5372,85,5627
+,1241,9103,2851,3504,3770,3855,5225,7653,2476,9691
+,5959,6175,9395,4672,4642,9843,55,8518,8887,8248
+,2880,99,1720,8829,4327,5627,300,9640,4744,6589
+,2779,1826,3867,5226,7871,1275,8835,1051,7754,7469
+,9581,8233,8650,47,483,1940,6066,227,4571,6328
+,4333,9904,8278,827,5928,8151,9776,7911,7293,659
+,2369,4794,8429,6179,1655,5495,3306,1224,9154,5506
+,4320,6532,4721,4140,4797,2662,2259,1155,9733,6449
+,5064,8984,9424,4690,8327,9412,3336,8619,9844,2880
+,3065,3884,5640,4801,5186,5118,6545,8470,1734,916
+,3448,2977,7850,2269,6302,4165,9371,6145,2574,2021
-,990,0,0,0,0,0,0,0,0,0
+,65,6838,305,980,4608,9286,7085,9100,3987,4401
+,9882,2464,4290,1827,2354,8126,1261,9567,3291,152
-,519,0,0,0,0,0,0,0,0,0
+,1090,8592,7498,4870,9646,2146,6187,845,3981,7459
+,6511,6739,5005,9565,9966,9326,6343,6844,6801,5997
+,6441,8507,5460,6596,1519,3848,4222,3375,1784,5051
+,7134,9984,6146,4446,2142,9251,4732,3013,4104,625
+,242,1884,1958,5321,119,9512,5903,3574,1380,978
+,1936,4570,4642,5094,4457,1428,8640,3083,2979,2797
+,8870,1547,7183,3526,8054,5088,5894,4455,3445,9317
+,3844,1321,7368,6991,9763,5619,526,2741,4597,4226
+,9310,4614,672,558,5084,9918,3099,6359,4836,7643
+,660,4032,8832,2826,2428,6861,4848,9560,963,6560
+,9256,9856,4414,875,2719,9889,7039,9137,3622,3044
+,4864,7601,2321,4742,7073,3190,6975,4779,2481,5566
+,7713,577,5260,683,2,2185,6596,313,7632,8972
+,9627,9018,1023,4426,4112,2746,5227,8234,1576,8635
+,8666,8183,1007,8712,839,7517,4258,3014,8312,4812
+,799,6275,9623,9159,2665,4605,6589,6790,7705,3787
+,6061,1329,2594,8625,3872,4777,9109,1892,1806,630
+,4060,6747,1761,8447,5713,8353,6389,9356,2047,6076
+,1118,6499,1455,8013,363,1860,8763,5417,5510,1319
+,4330,848,4945,6664,6762,4329,4947,14,9644,1391
+,1524,6109,3862,6193,4471,6053,4667,4772,3801,1726
-,565,0,0,0,0,0,0,0,0,0
+,8739,146,5852,2884,8602,4565,9786,2429,7717,1481
+,7068,1863,7487,5580,7800,8002,6396,6587,6738,6153
+,2769,2608,1875,5595,5337,9909,3976,8145,2848,6130
+,8793,2000,7058,8203,2358,3427,1440,1446,8472,258
+,563,9551,1669,7304,6969,2060,5173,7855,3391,9198
+,2574,7107,3147,7753,5289,6867,6048,1554,5520,566
+,9153,2289,7383,4092,8793,4436,7553,9001,8748,8860
+,7683,8203,2374,9464,922,7293,7913,3429,308,7934
+,827,1872,6905,9181,6285,5708,228,2014,1887,2423
+,4932,8584,6461,145,5508,6805,9710,9555,4005,9896
+,2269,8938,5727,6666,3045,5459,3891,4895,9874,1669
+,5069,9375,1410,4315,3331,3143,4370,5778,8434,8572
+,6398,6753,277,5034,6760,8844,9377,1411,2323,4329
+,7041,6144,6991,2996,8077,5528,7811,7634,9632,7282
+,7937,5394,2810,3585,3062,6085,7501,6287,4295,3286
-,831,0,0,0,0,0,0,0,0,0
+,342,7753,8683,9983,9608,7930,282,996,7995,3429
+,1608,2959,9125,1780,4116,8886,3665,4178,953,2158
+,2695,6551,5288,6456,3051,5596,3075,143,1261,2818
+,8483,9107,2776,3990,7620,1725,7190,5296,5488,6192
+,4825,7501,4315,9560,1825,8136,2935,5261,327,4501
+,1817,9135,195,2234,1946,4599,4783,881,4591,7251
+,5880,2520,4673,8196,2399,6251,1404,4089,5693,7952
+,7544,1740,965,9311,6956,8812,2880,6707,9604,3053
+,6064,688,1711,7309,3752,7196,355,9064,9150,5552
+,6454,3622,7153,8488,8142,692,7253,239,7182,521
+,945,1763,6117,3882,9836,9952,5942,9290,7511,351
+,4420,2592,7490,5849,7376,9496,2,8672,4529,4749
+,2702,7067,3592,6580,8447,8656,2356,8266,4515,4925
+,6756,8791,1425,7974,4445,4252,1651,1310,2492,1069
+,1707,7655,2889,6741,8412,656,9781,5721,6377,5891
+,9572,46,9563,5582,6487,4125,4040,528,9846,9551
+,9306,8717,7527,1742,1815,629,8357,1855,55,6449
+,3683,1881,3910,4138,1914,6447,9070,2269,8995,3887
+,9298,9183,4082,2286,6190,1872,9139,9209,6856,3282
+,2044,7303,6483,9944,7443,9204,7412,8799,5558,5289
+,5388,2945,5895,6854,9294,2386,8801,3749,738,3731
+,3150,5477,2677,5034,4497,8336,9822,7724,3701,8142
+,9561,1306,3070,8584,8168,4923,7844,1580,9160,6385
+,5132,7848,3757,2524,3854,6216,957,9093,9759,824
+,173,3831,79,7166,5357,346,9508,3650,7081,6272
+,1973,5248,9769,4241,6191,8380,3845,8071,1959,6477
+,3692,9864,3744,7456,3638,4718,1704,7538,5054,9619
+,3280,2393,4110,3983,7572,4123,1570,6736,1273,1770
-,675,0,0,0,0,0,0,0,0,0
+,7219,1511,3380,4971,8482,377,6240,6433,2777,2413
+,9057,4861,3353,5488,4845,4433,9109,3660,4940,1341
+,6451,961,367,5023,2332,4635,2235,6917,2015,6390
-,707,0,0,0,0,0,0,0,0,0
+,8472,204,6824,449,4338,8921,4550,4386,3262,1498
+,5997,9044,6902,3288,264,4148,767,5911,3485,9682
+,8201,6545,6410,6235,656,398,9024,7693,1617,4359
+,8441,1296,4031,5975,4654,7532,4521,8412,7662,1232
+,981,9219,5424,7169,5,9156,779,8834,8334,7136
+,4124,2082,8848,6224,4315,4830,8036,4470,4300,7322
+,8024,7852,5593,8235,8697,1855,3389,3888,5994,6876
+,870,3807,9092,3200,5082,3899,1165,2121,5722,16
-,725,0,0,0,0,0,0,0,0,0
-,884,0,0,0,0,0,0,0,0,0
+,6163,4111,2329,9618,7581,1327,8268,5290,9866,6210
+,8965,907,6336,4542,9628,1160,9031,6306,1142,9539
+,6312,5093,8456,3453,1169,7056,6803,9198,4256,4357
+,5245,7425,4930,1950,9651,4218,2158,6788,6888,3540
+,8959,1857,1767,6746,7387,735,577,946,8535,2343
+,664,2166,8069,3628,9079,7427,8600,4712,5713,2201
+,6157,5454,4454,3649,9334,5956,5177,2842,4045,5215
+,8,9,9422,9230,7347,1119,865,2001,7944,5427
-,742,0,0,0,0,0,0,0,0,0
-,915,0,0,0,0,0,0,0,0,0
+,4678,2552,2088,6618,8215,2753,1427,1017,2329,9790
+,7997,5740,5078,4565,6509,7728,4927,8454,104,1813
+,9940,8294,9776,3612,3070,2824,2033,7622,5392,2644
+,1582,9566,584,20,5760,5842,8483,9127,8503,9255
+,6400,1501,9527,445,1623,9847,896,2117,5010,5863
+,9533,2252,6169,8193,328,4751,5069,7981,9028,9102
+,4523,1508,9650,6992,8209,6470,5235,4682,3937,1396
-,505,0,0,0,0,0,0,0,0,0
+,439,3577,1179,3152,8851,9932,750,2054,8672,6985
+,6120,5272,8580,7654,60,3111,6293,4774,9022,9729
+,4658,1091,5011,4864,5082,1859,5718,5762,9418,2057
+,2385,8504,3455,80,3208,1175,917,7710,381,2729
+,3984,543,4506,8516,6167,6256,3139,1789,7168,3641
+,5031,5459,1153,5662,5849,4272,7286,9224,9461,9114
+,9981,7531,6590,2206,8071,2296,9712,4273,2057,2582
+,2387,4751,72,804,1983,1340,2142,1233,8875,8961
-,854,0,0,0,0,0,0,0,0,0
+,3745,6541,9153,1829,8510,3909,6315,9300,4121,327
+,4807,3518,8095,7606,3321,2049,1433,2037,2793,1691
+,3633,6950,9467,4673,7127,5729,844,2326,9200,6898
-,646,0,0,0,0,0,0,0,0,0
+,9458,3208,5601,4739,3285,3353,2876,5992,9756,304
+,5410,492,6989,1841,3990,37,7301,7684,109,8543
+,4194,4314,9304,9687,6518,6421,4078,1082,4540,1379
+,4474,5383,2905,3664,4055,6457,2779,2196,2952,1055
+,523,8769,7008,4103,1856,7618,762,7603,8719,1118
+,4773,3457,216,736,1861,4302,4049,6727,1258,8140
+,6649,8069,9343,1974,9502,8610,8846,792,3515,4648
+,892,7202,5146,8299,9572,3320,8742,2170,4219,4938
+,6139,2340,394,9489,5980,636,9625,7137,6132,6871
+,6240,7222,9095,8277,4313,9702,3478,7196,560,8185
+,8256,7463,3663,3687,3295,4253,4051,1064,6554,1130
+,6988,3695,373,4683,1326,5049,3419,5410,6672,9494
+,2167,405,4154,6499,5488,7520,2635,2319,904,6454
+,8485,3885,2202,4180,1172,4057,7572,3072,4991,8751
+,5814,8733,8821,9325,5247,5729,7976,8164,6884,3905
+,5276,7396,461,8789,5997,9315,5970,5366,5561,7970
+,2837,8403,8593,9698,6680,7931,8365,3587,9458,6811
+,3943,8653,5091,4059,6856,3984,539,749,2290,332
-,204,0,0,0,0,0,0,0,0,0
+,4456,6680,3838,2653,804,5677,3078,6110,8784,2008
+,529,7573,7706,5308,9747,4406,2320,398,273,7503
+,7312,1093,9725,324,7805,6597,1766,6714,4589,1368
-,565,0,0,0,0,0,0,0,0,0
+,5249,7429,113,9210,9643,3778,3258,4655,2655,8634
+,7659,650,7615,1843,9921,7398,8776,7483,733,706
+,4980,4117,1584,4697,3702,9035,7896,9086,9558,5517
+,8389,1450,2216,4078,2088,2348,6801,9626,8875,2481
+,9562,869,9962,1916,561,9992,5471,4589,1191,851
+,7104,60,8095,1112,7241,705,3457,6416,534,8683
+,7448,9529,6341,4597,9972,5735,4460,851,9422,6479
+,6783,7229,4671,2225,6033,1308,7087,142,818,9974
+,6393,1171,7423,5849,7581,2451,3909,442,3729,5764
+,1792,7622,6304,1116,5509,6238,3862,7044,7041,9308
+,2677,3977,2933,6295,3973,6251,3572,9131,6109,1524
+,1421,5610,2519,2255,7157,8695,8389,6796,936,1204
+,1277,4731,7194,7694,9187,7129,4215,6719,2044,3330
+,3365,4648,3051,444,3209,5109,1561,3821,3188,9913
+,3108,5096,2374,1413,2067,5278,4799,257,7651,9960
+,3456,1129,3173,6564,7783,3558,1494,4308,4567,9572
+,1008,3116,6405,2886,9294,5881,7266,8904,743,6899
+,4800,6886,9044,8299,2178,7057,8749,5706,361,3420
+,7346,2883,5817,6706,953,3538,9724,2484,9703,319
+,1519,3196,1159,8141,6040,5238,2640,3425,430,3798
-,841,0,0,0,0,0,0,0,0,0
+,8236,6908,2687,3273,5285,133,2041,4035,4374,6681
+,5841,4436,8224,8158,2213,4069,6154,842,9340,1230
+,8335,7297,7450,2486,4492,3314,9278,672,8716,8636
+,1236,2412,1698,6879,7766,9726,7420,7314,2880,9546
+,5710,1071,2060,1025,3126,3324,3852,2422,4002,3637
+,5870,512,4663,3112,9120,9472,5782,9272,5212,1425
+,831,3804,5677,5289,6968,5372,9088,4391,9232,2388
+,8433,9727,7122,9262,3412,8332,1556,3348,784,4075
-,581,0,0,0,0,0,0,0,0,0
+,4497,3169,1716,8215,6802,5367,5720,2373,3307,4928
-,958,0,0,0,0,0,0,0,0,0
+,7984,9612,9956,3844,3995,4680,4871,8493,8414,8896
-,812,0,0,0,0,0,0,0,0,0
+,4701,366,3807,2992,9951,7820,5890,9190,479,9331
+,4572,1092,6509,6528,1937,3351,6525,1746,5873,7285
+,5308,7607,9964,6057,1830,662,6623,3850,9552,2862
-,939,0,0,0,0,0,0,0,0,0
+,1615,6271,5691,6783,2110,5500,5034,6107,4139,3095
+,6546,4053,5751,5685,327,5955,7563,2771,8654,9157
+,9278,8116,6794,9259,5736,2842,1240,4605,2403,9921
+,9357,6272,7826,5262,5321,3435,7091,6698,3571,2756
+,5479,6294,5478,3488,3082,3959,3302,4628,4739,9523
+,2243,1131,8865,2743,5385,4132,2908,2899,8384,7142
+,2904,5272,3561,2866,2544,4435,8350,5092,6204,3264
+,4747,3815,5910,4,4786,8988,4844,7100,2592,975
+,2058,96,3805,2463,8720,8839,4589,6706,1462,3988
+,3138,1754,6816,531,835,2054,3469,4605,759,7972
+,1396,5036,5647,3379,3973,8297,290,631,9316,6291
+,3965,8535,4406,9373,9927,8203,6244,7161,7375,7944
+,9064,5073,3304,8600,3349,3204,3019,1356,3341,9105
+,9118,6110,622,8883,2597,9548,2695,3550,2524,1806
+,3718,6527,78,5672,6443,6879,533,930,2257,9650
+,4743,4312,9820,7608,1274,3641,6284,8106,6353,4126
+,6680,5821,2653,2109,8882,4063,8296,2782,1818,7894
+,3217,8863,1309,8813,1000,4887,9982,7733,9870,7877
+,7268,4446,2349,190,3947,2800,6716,1299,5379,6475
+,6038,4123,3233,5187,6059,7959,1354,6132,1248,1760
+,3746,1666,8945,6839,8061,9230,6342,9620,7614,2362
+,7738,8645,1932,4250,4090,1595,2703,3963,8550,2666
+,7593,7545,4995,7623,9210,3076,2720,8572,8109,3272
+,1906,3342,7322,7846,3242,1679,4609,4364,4212,6475
+,2184,575,5896,9218,5735,4533,2832,733,9731,9977
+,6542,7742,4663,8835,2077,1376,4019,4754,4903,8099
+,4075,4785,6877,3122,1845,5913,2139,2451,6812,7786
+,4689,9674,5519,1770,8923,3024,6965,6128,2701,7221
+,5557,4275,6348,3091,168,8662,6043,7782,3869,514
+,4618,8265,9169,8423,6284,7253,9471,9529,4961,3018
-,786,0,0,0,0,0,0,0,0,0
+,4120,3258,8402,570,5624,6039,4998,4935,6641,6636
+,5445,5012,6572,834,2871,3482,5410,9113,4163,7758
+,5854,6185,2945,2864,8937,5372,2008,1813,9298,5547
+,1249,6812,2939,577,8704,8557,1889,176,8943,4258
+,1468,5871,7579,7991,929,8467,2291,2350,3265,1846
+,3663,5833,5614,8539,6364,5587,8061,943,8006,2771
+,5852,1060,6232,1034,575,9896,9937,9478,4419,7398
+,5014,5745,6704,6798,9095,1154,2224,4166,7047,5275
+,1501,390,5608,1679,5274,4464,8658,3254,5276,7122
+,3154,7985,8395,7545,3684,1373,6159,7036,9551,2202
+,1300,2907,201,8957,2134,106,2826,2286,7460,6072
-,513,0,0,0,0,0,0,0,0,0
+,5543,7170,8935,5161,6374,4896,2654,4653,6398,5106
+,1692,3703,7537,3666,3119,1822,9164,1133,1589,6631
+,2961,1176,3846,8,8514,7843,3844,1460,3502,4666
+,3727,4061,8548,7366,6281,9930,198,1653,4073,3910
+,9327,8045,7897,9934,3597,465,8083,1432,717,9716
+,1969,3924,4767,4059,9902,1995,7908,5119,9321,4197
+,8979,7180,4601,5644,1635,2845,3143,6705,7920,4488
+,8229,5784,9413,9930,924,3536,1157,8014,4716,8770
+,2733,317,5846,9064,7414,7071,1221,1480,6422,960
+,6927,478,3412,8394,9542,9410,4287,1078,980,5430
+,1812,9423,7514,6968,6223,7290,6760,2300,4349,3119
+,5257,7839,8304,3552,5046,7951,9697,4610,6004,3240
+,8134,9284,2291,808,6090,1587,487,3212,3106,6272
-,184,0,0,0,0,0,0,0,0,0
+,8722,210,5628,4249,1581,6306,2882,3961,1914,8861
+,1971,1646,214,5495,5652,6114,1354,767,3240,9842
+,7366,7960,2328,2587,8603,6326,5829,6749,7746,3893
+,5234,4605,2963,9705,8938,7208,5667,8234,9995,966
-,113,0,0,0,0,0,0,0,0,0
+,7063,5368,7789,7119,1585,7006,1502,1300,7724,6125
+,385,7537,541,4543,3275,9196,352,6356,1975,8191
-,445,0,0,0,0,0,0,0,0,0
+,9598,3561,9426,2800,8122,2595,62,2080,7698,9390
+,1564,4541,1273,3678,9208,8367,8808,7990,3725,1332
+,5352,9181,3012,1701,277,907,9725,4942,8557,4166
+,2909,6824,5778,6391,6873,3956,8915,8305,1270,3382
+,9786,4568,7073,7952,8228,3214,4977,8817,4445,599
+,4656,7756,8254,1233,6624,6447,8216,1349,3507,3016
+,4023,5967,9342,9645,8677,3711,2461,64,1046,8529
-,893,0,0,0,0,0,0,0,0,0
+,406,678,5934,8490,4275,5743,7084,8389,1434,5385
+,9821,9440,5867,2946,1790,5645,1028,8606,8745,612
-,980,0,0,0,0,0,0,0,0,0
+,6266,3697,6494,5566,1136,1688,4818,7932,4273,8393
+,8133,523,9668,5188,9684,2396,5054,1641,9428,100
+,1737,7547,8627,6440,2562,268,651,899,1428,5625
+,1670,3475,8831,6844,7652,6196,8542,2497,4140,4105
+,7684,7151,205,3132,447,765,9028,2441,2654,7974
+,8983,3186,2295,728,2420,2497,3475,9538,557,944
+,5219,748,1024,9399,9176,7347,6571,7764,9437,5157
+,480,1940,3111,7316,5609,9027,5034,188,3698,4002
+,2474,2873,5805,450,4111,7038,7112,8246,2802,3292
+,4470,1982,9506,8656,8610,1553,4635,9141,9877,5272
+,412,9424,9381,4380,4660,7226,838,5275,6265,8122
+,785,7178,6770,5077,1968,8795,7227,5519,1337,987
-,342,0,0,0,0,0,0,0,0,0
+,4272,3061,9987,4688,6011,1536,1444,3033,8509,8207
+,8011,7466,4317,3288,4691,9351,7846,213,5579,6200
+,759,4913,5511,7944,3398,8926,9472,8199,988,3442
+,9625,4146,1467,2673,6012,9128,4452,916,7057,908
+,3708,9039,7672,8715,1542,2285,859,6886,8260,5018
+,9884,4209,4196,8694,8365,235,5167,4504,4005,5283
+,7203,1601,8577,5653,887,1200,3809,5202,7919,5567
+,4238,5155,3068,5414,7021,3058,9955,9312,1555,8100
+,7985,535,2384,1564,3990,8804,2220,9290,7756,9771
+,2042,5873,727,4502,4089,7482,3904,3389,4872,256
+,1272,9130,2284,6387,6429,3102,2755,1344,5596,3477
+,1580,9963,6217,4501,4495,7842,8277,3725,3834,8987
+,462,4801,7123,3212,4082,1591,7454,9609,6647,7875
+,4203,6156,5218,8213,6094,8837,6461,2321,9558,961
+,967,7753,8419,4667,7416,7520,3081,6359,4766,9039
+,6229,4669,6661,6951,8893,5579,3789,8911,9338,1530
+,919,6267,8622,4009,317,9539,4748,5406,5973,7942
+,8244,9521,3233,7954,531,8961,9102,8600,5310,4753
+,5532,3549,4821,4991,4071,1687,7440,1667,4837,1368
-,271,0,0,0,0,0,0,0,0,0
+,2516,1286,8162,4962,2102,9716,7276,9675,7995,8601
+,4469,9907,7857,813,6073,7289,2287,8378,1707,1324
+,3673,3281,9033,5089,1375,4294,5086,6676,4350,8371
+,2990,2776,9312,4586,2329,9875,2539,1833,4105,1320
